EmployeeID,UserPrincipalName,Alias,FirstName,LastName,DisplayName,Title,Department,PhoneNumber,Mobile Phone,Fax,StreetAddress,City,State,PostalCode,Country
1437,DaLiu@SkytapMarketingDemo.net,DaLiu,David,Liu,David Liu,Account Manager,Finance,6465550185,N/A,N/A,9605 Pheasant Circle,Gold Bar,Washington,98251,United States
1486,BaMorel@SkytapMarketingDemo.net,BaMorel,Barbara,Moreland,Barbara Moreland,Accountant,Finance,8225550145,N/A,N/A,137 Mazatlan,Seattle,Washington,98104,United States
1249,DrTomic@SkytapMarketingDemo.net,DrTomic,Dragan,Tomic,Dragan Tomic,Accounts Payable Specialist,Finance,1175550185,N/A,N/A,3884 Beauty Street,Gold Bar,Washington,98251,United States
1515,BrWalto@SkytapMarketingDemo.net,BrWalto,Bryan,Walton,Bryan Walton,Accounts Receivable Specialist,Finance,9355550199,N/A,N/A,1397 Paradise Ct.,Newport Hills,Washington,98006,United States
1439,KarenBerg@SkytapMarketingDemo.net,KaBerg,Karen,Berg,Karen Berg,Application Specialist,Development,6545550177,N/A,N/A,5256 Chickpea Ct.,Issaquah,Washington,98027,United States
1389,DaBarbe@SkytapMarketingDemo.net,DaBarbe,David,Barber,David Barber,Assistant to the Chief Financial Officer,Finance,4775550132,N/A,N/A,8967 Hamilton Ave.,Newport Hills,Washington,98006,United States
1282,DaBacon@SkytapMarketingDemo.net,DaBacon,Dan,Bacon,Dan Bacon,Azure Application Specialist,Development,1665550159,N/A,N/A,1921 Ranch Road,Issaquah,Washington,98027,United States
1433,JaBueno@SkytapMarketingDemo.net,JaBueno,Janaina,Bueno,Janaina Bueno,Azure Application Specialist,Development,6235550155,N/A,N/A,5979 El Pueblo,Issaquah,Washington,98027,United States
1306,JaLever@SkytapMarketingDemo.net,JaLever,Janet,Leverling,Janet Leverling,Azure Stack Operator,Information Technology,2065553412,N/A,N/A,722 Moss Bay Blvd.,Kirkland,Washington,98033,United States
1405,MiMarti@SkytapMarketingDemo.net,MiMarti,Mindy,Martin,Mindy Martin,Benefits Specialist,Human Resources,5225550147,N/A,N/A,9687 Shakespeare Drive,Newport Hills,Washington,98006,United States
1490,ArRao@SkytapMarketingDemo.net,ArRao,Arvind,Rao,Arvind Rao,Buyer,Purchasing,8485550163,N/A,N/A,9495 Limewood Place,Renton,Washington,98055,United States
1451,KeSanch@SkytapMarketingDemo.net,KeSánch,Ken,Sánchez,Ken Sánchez,Chief Executive Officer,Corporate,6975550142,N/A,N/A,4350 Minute Dr.,Newport Hills,Washington,98006,United States
1431,LaNorma@SkytapMarketingDemo.net,LaNorma,Laura,Norman,Laura Norman,Chief Financial Officer,Corporate,6155550110,N/A,N/A,6937 E. 42nd Street,Renton,Washington,98055,United States
1309,NaDavol@SkytapMarketingDemo.net,NaDavol,Nancy,Davolio,Nancy Davolio,Chief Information Officer,Corporate,2065559857,N/A,N/A,"507 - 20th Ave. E.
Apt. 2A",Seattle,Washington,98122,United States
1238,RoKing@SkytapMarketingDemo.net,RoKing,Robert,King,Robert King,Chief Operations Officer,Corporate,5555598,N/A,N/A,"Edgeham Hollow
Winchester Way",London,England,RG1 9SP,United Kingdom
1500,TeKhara@SkytapMarketingDemo.net,TeKhara,Tengiz,Kharatishvili,Tengiz Kharatishvili,Control Specialist,Development,9105550116,N/A,N/A,3333 Madhatter Circle,Issaquah,Washington,98027,United States
